"Issue Type","Epic Name","Summary","Description","Labels","Epic Link"
"EPIC","Unified Person & Employee Identity","Unified Person & Employee Identity","We have a clean, multi-tenant-safe model for people and employees that can be shared across Zimasa products without data leakage.

Requirements: PW-CORE-01, PW-CORE-02, PW-CORE-03, PW-CORE-04","PeopleCore",""
"EPIC","Manage Employment Lifecycle","Manage Employment Lifecycle","HR can manage contracts and employment status changes over time, and report on joiners, leavers and movements.

Requirements: PW-CORE-05, PW-CORE-06, PW-CORE-07, PW-CORE-08","PeopleCore",""
"EPIC","Enrich Employee Context","Enrich Employee Context","Managers and HR can view key context about dependents, education and prior experience to support decisions and performance conversations.

Requirements: PW-CORE-09, PW-CORE-10, PW-CORE-11, PW-CORE-12, PW-CORE-13","PeopleCore",""
"EPIC","Wellness Engagement Profile","Wellness Engagement Profile","Each employee has a wellness engagement profile that can drive personalised, non-punitive wellness nudges and AI insights.

Requirements: PW-CORE-14, PW-CORE-15, PW-CORE-16","PeopleCore",""
"EPIC","Design Org Structure & Hierarchy","Design Org Structure & Hierarchy","HR can model the company structure with departments, teams and cost centres in a flexible hierarchy across multiple entities.

Requirements: PW-ORG-01, PW-ORG-02","WorkLattice",""
"EPIC","Define Job Roles & Requirements","Define Job Roles & Requirements","The organisation can standardise role definitions and attach simple requirements that drive performance templates and development planning.

Requirements: PW-ORG-03, PW-ORG-04, PW-ORG-09, PW-ORG-10","WorkLattice",""
"EPIC","Manage Positions & Reporting Lines","Manage Positions & Reporting Lines","HR can model concrete positions and reporting lines, including simple matrix reporting where needed.

Requirements: PW-ORG-05, PW-ORG-06","WorkLattice",""
"EPIC","Manage Position Assignments & Movements","Manage Position Assignments & Movements","The organisation can track who sits in which role over time, with clear history of transfers, promotions and secondments.

Requirements: PW-ORG-07, PW-ORG-08","WorkLattice",""
"EPIC","Configurable Leave Types & Policies","Configurable Leave Types & Policies","HR can configure leave types and simple policies that reflect the organisation’s rules, including wellness and mental health leave.

Requirements: PW-LEAVE-01, PW-LEAVE-02, PW-LEAVE-03","Leave",""
"EPIC","Leave Periods & Balance Accounting","Leave Periods & Balance Accounting","Leave balances are correctly tracked per period and type, with clean rollover and adjustment mechanisms.

Requirements: PW-LEAVE-04, PW-LEAVE-05, PW-LEAVE-06, PW-LEAVE-07, PW-LEAVE-08","Leave",""
"EPIC","Employees Manage Their Own Leave","Employees Manage Their Own Leave","Employees can easily request leave, see their balances and avoid basic errors like overlapping or over-drawn leave.

Requirements: PW-LEAVE-09, PW-LEAVE-10, PW-LEAVE-11","Leave",""
"EPIC","Flexible Leave Approval Workflows","Flexible Leave Approval Workflows","Managers and HR can approve leave using simple, configurable workflows that handle special cases like wellness leave.

Requirements: PW-LEAVE-12, PW-LEAVE-13","Leave",""
"EPIC","Team Calendars & Capacity Protection","Team Calendars & Capacity Protection","Managers can see who is off when and protect minimum staffing levels with simple roster rules.

Requirements: PW-LEAVE-14, PW-LEAVE-15, PW-LEAVE-16, PW-LEAVE-17, PW-LEAVE-18","Leave",""
"EPIC","Recovery Index for Rest & Recharge","Recovery Index for Rest & Recharge","Employees, managers and HR can see a Recovery Index that highlights whether people are taking healthy breaks.

Requirements: PW-LEAVE-19, PW-LEAVE-20, PW-LEAVE-21, PW-LEAVE-22","Leave",""
"EPIC","Leave-Based Wellness Signals to ZHEP","Leave-Based Wellness Signals to ZHEP","ZHEP receives anonymised leave patterns (under-use, over-use, no-break) to drive broader wellness interventions.

Requirements: PW-LEAVE-23, PW-LEAVE-24","Leave",""
"EPIC","Configure Performance Cycles & Templates","Configure Performance Cycles & Templates","HR can set up performance cycles and templates that reflect how the organisation actually appraises people.

Requirements: PW-PERF-01, PW-PERF-02, PW-PERF-03, PW-PERF-04, PW-PERF-05, PW-PERF-19","Performance",""
"EPIC","Capture Rich Performance Feedback & Goals","Capture Rich Performance Feedback & Goals","Employees and managers can capture structured and narrative feedback, KPIs and OKRs within a single, coherent appraisal.

Requirements: PW-PERF-06, PW-PERF-07, PW-PERF-08, PW-PERF-09, PW-PERF-10, PW-PERF-11, PW-PERF-12, PW-PERF-13","Performance",""
"EPIC","Run Appraisal Workflow & Scoring","Run Appraisal Workflow & Scoring","The organisation can run structured appraisal cycles with clear workflow, finalisation and fair scoring.

Requirements: PW-PERF-14, PW-PERF-15, PW-PERF-16, PW-PERF-17, PW-PERF-18","Performance",""
"EPIC","Growth & Wellness Commitments","Growth & Wellness Commitments","Each appraisal ends with concrete, trackable growth and wellness commitments that can feed into ZHEP.

Requirements: PW-PERF-20, PW-PERF-21","Performance",""
"EPIC","Continuous Check-ins & Wellbeing Signals","Continuous Check-ins & Wellbeing Signals","Managers and employees can run regular check-ins that capture energy/stress signals and feed into insights without becoming punitive.

Requirements: PW-PERF-22, PW-PERF-23, PW-PERF-24","Performance",""
"EPIC","Points & Levels for Healthy Habits","Points & Levels for Healthy Habits","Employees earn and see points and levels for healthy, sustainable behaviours without creating unhealthy competition.

Requirements: PW-GAME-01, PW-GAME-02, PW-GAME-03, PW-GAME-04, PW-GAME-05","Gamification",""
"EPIC","Team Wellness Challenges","Team Wellness Challenges","Teams can join simple wellness-focused challenges that encourage balanced leave and check-ins without ranking individuals.

Requirements: PW-GAME-06, PW-GAME-07, PW-GAME-08","Gamification",""
"EPIC","Manager Health Stewardship Scorecards","Manager Health Stewardship Scorecards","Managers get a private, non-punitive view of how well they support rest and wellbeing in their teams.

Requirements: PW-GAME-09, PW-GAME-10","Gamification",""
"EPIC","Wellness Visuals & Micro-Rewards","Wellness Visuals & Micro-Rewards","Employees see simple, positive visual feedback and badges that reinforce good recovery and reflection habits.

Requirements: PW-GAME-11, PW-GAME-12","Gamification",""
"EPIC","Employee Copilot for HR & Wellness Questions","Employee Copilot for HR & Wellness Questions","Employees can get instant, conversational answers about HR policies, leave and wellness options, and have simple actions drafted for them.

Requirements: PW-AI-01, PW-AI-02","AI",""
"EPIC","Manager Insight Copilot","Manager Insight Copilot","Managers can ask natural-language questions and get summarised insights and nudges about team wellbeing and performance patterns.

Requirements: PW-AI-03, PW-AI-04","AI",""
"EPIC","Performance Summaries & Coaching Assistance","Performance Summaries & Coaching Assistance","Managers get AI help to summarise appraisals and phrase feedback constructively, while keeping humans firmly in control.

Requirements: PW-AI-05, PW-AI-06, PW-AI-07, PW-AI-08, PW-AI-09","AI",""
"EPIC","Smart HR Request Triage","Smart HR Request Triage","Generic HR queries are automatically categorised and routed, with helpful draft responses, reducing manual triage overhead.

Requirements: PW-AI-10, PW-AI-11, PW-AI-12","AI",""
"EPIC","Safe & Transparent AI Governance","Safe & Transparent AI Governance","All AI features are clearly labelled, controllable and tenant-safe, with strict boundaries around data access and usage.

Requirements: PW-AI-13, PW-AI-14, PW-AI-15","AI",""
"EPIC","Employee Self-Service Hub","Employee Self-Service Hub","Employees can self-serve for the most common HR tasks without going through HR, reducing friction and admin work.

Requirements: PW-ESS-01","ESS",""
"EPIC","Manager Self-Service Console","Manager Self-Service Console","Managers can handle day-to-day people management (leave, performance, wellbeing) from a single place, instead of relying on HR.

Requirements: PW-MSS-01","MSS",""
"EPIC","Role-Aware Navigation & Permissions in Self-Service","Role-Aware Navigation & Permissions in Self-Service","The same frontend can safely adapt to different roles and show only what each user should see.

Requirements: PW-ESS-01, PW-MSS-01, PW-NFR-02, PW-NFR-03","ESS",""
"EPIC","Self-Service Wellness Experience","Self-Service Wellness Experience","Employees and managers see wellness as part of normal self-service, with clear visibility of Recovery and gamification.

Requirements: PW-ESS-01, PW-MSS-01, PW-GAME-11, PW-GAME-12, PW-LEAVE-19, PW-LEAVE-20, PW-LEAVE-21, PW-LEAVE-22","ESS",""
"EPIC","ZHEP Wellness Integration","ZHEP Wellness Integration","PeopleWell and ZHEP share just enough data to power wellness journeys, without exposing sensitive HR or health details.

Requirements: PW-INT-01, PW-INT-02, PW-LEAVE-23, PW-LEAVE-24, PW-PERF-21","Platform",""
"EPIC","External Integrations & Open APIs","External Integrations & Open APIs","PeopleWell plugs cleanly into payroll, BI and other systems via stable APIs and exports, without becoming a payroll engine itself.

Requirements: PW-INT-03, PW-INT-04, PW-NFR-06, PW-NFR-07, PW-NFR-12, PW-NFR-13","Platform",""
"EPIC","Strong Multi-Tenancy & Isolation","Strong Multi-Tenancy & Isolation","Multiple customers can safely share the platform without any risk of cross-tenant data leakage or AI cross-contamination.

Requirements: PW-NFR-01, PW-CORE-03, PW-CORE-04, PW-AI-14, PW-AI-15","Platform",""
"EPIC","Security, RBAC & Auditability","Security, RBAC & Auditability","Access is controlled by roles and org scope, and sensitive changes are always auditable.

Requirements: PW-NFR-02, PW-NFR-03, PW-NFR-04, PW-NFR-05","Platform",""
"EPIC","Configurability & Simple Workflow Engine","Configurability & Simple Workflow Engine","Tenants can adapt PeopleWell to their HR patterns without heavy workflow tooling.

Requirements: PW-NFR-08, PW-NFR-09, PW-LEAVE-12, PW-LEAVE-13, PW-PERF-15","Platform",""
"EPIC","Onboarding at Speed (Imports & Setup)","Onboarding at Speed (Imports & Setup)","New tenants can be onboarded quickly using import templates and clear validation so they can see value fast.

Requirements: PW-NFR-10, PW-NFR-11","Platform",""
"EPIC","Insightful Reporting & Analytics Foundations","Insightful Reporting & Analytics Foundations","HR and leadership get the essential views on people, leave, wellbeing, performance and gamification to run the business.

Requirements: PW-NFR-12, PW-NFR-13, PW-LEAVE-21, PW-LEAVE-22, PW-GAME-08, PW-GAME-10","Platform",""
"STORY","","As an HR user, I want to create and maintain Person records so that people can be consistently identified across tenants and Zimasa products.","As an HR user, I want to create and maintain Person records so that people can be consistently identified across tenants and Zimasa products.

Requirements: PW-CORE-01

Acceptance Criteria:
- Given I am an HR user, when I create a Person with mandatory demographic and at least one contact detail, then the system stores a new Person with a generated ID.
- Given a Person exists, when I add or update multiple contact methods and mark one as primary, then the system enforces exactly one primary per contact type.
- Given I search for a Person by name or ID, when I execute the search, then only Persons within my tenant and permission scope are returned.","PeopleCore","Unified Person & Employee Identity"
"STORY","","As an HR user, I want to create an Employee for my tenant from an existing Person so that employment data is scoped per tenant.","As an HR user, I want to create an Employee for my tenant from an existing Person so that employment data is scoped per tenant.

Requirements: PW-CORE-02, PW-CORE-03, PW-CORE-04

Acceptance Criteria:
- Given a Person exists in the directory, when I create an Employee for that Person in my tenant, then the system links the Employee to that Person and tags it with my tenant.
- Given a Person already has an Employee record in another tenant, when I create an Employee in my tenant, then the system allows a separate Employee record without exposing the other tenant.
- Given I am scoped to Tenant A, when I use Employee APIs or UI, then I cannot see Employee records from Tenant B.","PeopleCore","Unified Person & Employee Identity"
"STORY","","As an HR user, I want to update an Employee’s employment status so that lifecycle changes like probation, suspension and exit are tracked.","As an HR user, I want to update an Employee’s employment status so that lifecycle changes like probation, suspension and exit are tracked.

Requirements: PW-CORE-02, PW-CORE-07, PW-CORE-08

Acceptance Criteria:
- Given an Employee is Active, when I change their status to Probation or Exited with an effective date and reason, then the system records the new status and appends a status history entry.
- Given an Employee has multiple status changes, when I view their status history, then I see a chronological list with old status, new status, effective date and reason.
- Given I run a joiners or leavers report for a date range, when the system processes status history, then it includes Employees whose status changed to Active or Exited in that period.","PeopleCore","Unified Person & Employee Identity"
"STORY","","As an HR user, I want to create and update employment contracts so that contractual terms and key dates are recorded over time.","As an HR user, I want to create and update employment contracts so that contractual terms and key dates are recorded over time.

Requirements: PW-CORE-05, PW-CORE-06

Acceptance Criteria:
- Given an Employee exists, when I create a contract with type, start date, optional end date and probation end date, then the system stores the contract with the chosen status (Draft or Active).
- Given a contract is ended, when I view the Employee’s contract history, then I see all contracts with type, dates and status.
- Given a contract references a primary Position Assignment, when I save it, then the contract remains linked to that Position Assignment.","PeopleCore","Manage Employment Lifecycle"
